key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~ever_easy,NEGMIR,ever_easy,368,184.0,510.38858,2.8680158,0.50031555,0.0012614188,1.0,0.0012614188,291735,368,583470,368.0,291367.0,0.0,291735.0,291735.0,291735.0,368.0,583102.0,291551.0,184.0,291551.0,9.591663,0.002519659,0.30103,0.0012614188,0.50031555,0.50031555,0.25078848,184.0,0.5,4.457519,4.319121,4.521269,4.680624,5.928893,4.850987,19.183326093250876,540.1249855357554,19.183326093250876,ever,easy,4776,7897
NEG~entirely_sure,NEGMIR,entirely_sure,364,182.0,504.83838,2.8632698,0.50031215,0.0012477078,1.0,0.0012477076,291735,364,583470,364.0,291371.0,0.0,291735.0,291735.0,291735.0,364.0,583106.0,291553.0,182.0,291553.0,9.539392,0.002492306,0.30103,0.0012477078,0.50031215,0.50031215,0.25077993,182.0,0.5,4.441396,4.302963,4.5051613,4.6645517,5.9129963,4.834948,19.078784028338912,540.1249855357554,19.078784028338912,entirely,sure,4011,5983
POS~even_impossible,POSMIR,even_impossible,273,136.5,378.58615,2.738394,0.50023407,0.0009357808,1.0,0.00093578076,291735,273,583470,273.0,291462.0,0.0,291735.0,291735.0,291735.0,273.0,583197.0,291598.5,136.5,291598.5,8.261355,0.001869812,0.30103,0.0009357808,0.50023407,0.50023407,0.25058493,136.5,0.5,4.0154443,3.875928,4.079675,4.240145,5.493988,4.411575,16.522711641858304,540.1249855357554,16.522711641858304,even,impossible,14978,907
NEG~particularly_wrong,NEGMIR,particularly_wrong,212,106.0,293.97147,2.6287045,0.50018173,0.0007266869,1.0,0.0007266869,291735,212,583470,212.0,291523.0,0.0,291735.0,291735.0,291735.0,212.0,583258.0,291629.0,106.0,291629.0,7.28011,0.001452318,0.30103,0.0007266869,0.50018173,0.50018173,0.25045422,106.0,0.5,3.638012,3.497243,3.7027817,3.864501,5.1245775,4.037124,14.560219778561036,540.1249855357554,14.560219778561036,particularly,wrong,10020,8526
NEG~necessarily_wrong,NEGMIR,necessarily_wrong,211,105.5,292.58444,2.6266546,0.5001809,0.0007232591,1.0,0.0007232591,291735,211,583470,211.0,291524.0,0.0,291735.0,291735.0,291735.0,211.0,583259.0,291629.5,105.5,291629.5,7.2629194,0.001445473,0.30103,0.0007232591,0.5001809,0.5001809,0.25045207,105.5,0.5,3.630923,3.4901273,3.6957042,3.8574502,5.117659,4.030099,14.52583904633395,540.1249855357554,14.52583904633395,necessarily,wrong,993,8526
NEG~ever_simple,NEGMIR,ever_simple,206,103.0,285.64938,2.6162567,0.5001766,0.0007061203,1.0,0.0007061203,291735,206,583470,206.0,291529.0,0.0,291735.0,291735.0,291735.0,206.0,583264.0,291632.0,103.0,291632.0,7.17635,0.001411244,0.30103,0.0007061203,0.5001766,0.5001766,0.25044134,103.0,0.5,3.5949476,3.4540145,3.6597877,3.8216703,5.0825605,3.9944496,14.352700094407323,540.1249855357554,14.352700094407323,ever,simple,4776,7580
NEG~ever_perfect,NEGMIR,ever_perfect,206,103.0,285.64938,2.6162567,0.5001766,0.0007061203,1.0,0.0007061203,291735,206,583470,206.0,291529.0,0.0,291735.0,291735.0,291735.0,206.0,583264.0,291632.0,103.0,291632.0,7.17635,0.001411244,0.30103,0.0007061203,0.5001766,0.5001766,0.25044134,103.0,0.5,3.5949476,3.4540145,3.6597877,3.8216703,5.0825605,3.9944496,14.352700094407323,540.1249855357554,14.352700094407323,ever,perfect,4776,1280
NEG~too_surprising,NEGMIR,too_surprising,205,102.5,284.2624,2.6141472,0.5001757,0.0007026925,1.0,0.0007026925,291735,205,583470,205.0,291530.0,0.0,291735.0,291735.0,291735.0,205.0,583265.0,291632.5,102.5,291632.5,7.1589108,0.001404398,0.30103,0.0007026925,0.5001757,0.5001757,0.25043923,102.5,0.5,3.5876436,3.4466825,3.6524959,3.8144066,5.0754375,3.987213,14.317821063276353,540.1249855357554,14.317821063276353,too,surprising,69845,1270
POS~even_higher,POSMIR,even_higher,194,97.0,269.00565,2.5902386,0.5001663,0.0006649871,1.0,0.0006649871,291735,194,583470,194.0,291541.0,0.0,291735.0,291735.0,291735.0,194.0,583276.0,291638.0,97.0,291638.0,6.9641943,0.00132909,0.30103,0.0006649871,0.5001663,0.5001663,0.25041565,97.0,0.5,3.5047636,3.363472,3.569758,3.7319977,4.994669,3.9051182,13.92838827718412,540.1249855357554,13.92838827718412,even,higher,14978,634
NEG~truly_alone,NEGMIR,truly_alone,187,93.5,259.297,2.5743098,0.5001603,0.0006409927,1.0,0.00064099266,291735,187,583470,187.0,291548.0,0.0,291735.0,291735.0,291735.0,187.0,583283.0,291641.5,93.5,291641.5,6.837397,0.001281164,0.30103,0.0006409927,0.5001603,0.5001603,0.25040063,93.5,0.5,3.4494326,3.3079104,3.5145261,3.676996,4.940812,3.850336,13.674794331177344,540.1249855357554,13.674794331177344,truly,alone,5073,594
NEG~before_available,NEGMIR,before_available,176,88.0,244.04091,2.5480368,0.50015086,0.0006032872,1.0,0.00060328725,291735,176,583470,176.0,291559.0,0.0,291735.0,291735.0,291735.0,176.0,583294.0,291647.0,88.0,291647.0,6.6332498,0.001205847,0.30103,0.0006032872,0.50015086,0.50015086,0.2503771,88.0,0.5,3.3579614,3.216039,3.423227,3.5860953,4.851897,3.7598162,13.2664991614216,540.1249855357554,13.2664991614216,before,available,289,3078
NEG~exactly_sure,NEGMIR,exactly_sure,148,74.0,205.20912,2.472977,0.50012684,0.0005073097,1.0,0.00050730974,291735,148,583470,148.0,291587.0,0.0,291735.0,291735.0,291735.0,148.0,583322.0,291661.0,74.0,291661.0,6.0827627,0.001014105,0.30103,0.0005073097,0.50012684,0.50012684,0.2503171,74.0,0.5,3.095067,2.9518518,3.1608877,3.3250425,4.597244,3.4999917,12.165525060596439,540.1249855357554,12.165525060596439,exactly,sure,862,5983
NEG~ever_enough,NEGMIR,ever_enough,147,73.5,203.82231,2.4700408,0.500126,0.0005038819,1.0,0.00050388195,291735,147,583470,147.0,291588.0,0.0,291735.0,291735.0,291735.0,147.0,583323.0,291661.5,73.5,291661.5,6.0621777,0.001007256,0.30103,0.0005038819,0.500126,0.500126,0.25031495,73.5,0.5,3.0847328,2.9414623,3.1505773,3.3147874,4.587263,3.4897892,12.12435565298214,540.1249855357554,12.12435565298214,ever,enough,4776,1334
NEG~not_funny,NEGMIR,not_funny,146,73.0,202.43552,2.4670851,0.50012517,0.0005004542,1.0,0.00050045416,291735,146,583470,146.0,291589.0,0.0,291735.0,291735.0,291735.0,146.0,583324.0,291662.0,73.0,291662.0,6.041523,0.001000408,0.30103,0.0005004542,0.50012517,0.50012517,0.2503128,73.0,0.5,3.0743241,2.9309976,3.140193,3.3044589,4.5772123,3.4795141,12.083045973594572,540.1249855357554,12.083045973594572,not,funny,1404,1808
NEG~ever_certain,NEGMIR,ever_certain,143,71.5,198.27515,2.4580948,0.50012255,0.0004901709,1.0,0.00049017085,291735,143,583470,143.0,291592.0,0.0,291735.0,291735.0,291735.0,143.0,583327.0,291663.5,71.5,291663.5,5.9791303,0.000979861,0.30103,0.0004901709,0.50012255,0.50012255,0.25030637,71.5,0.5,3.0426412,2.899141,3.1085844,3.273023,4.5466337,3.4482427,11.958260743101398,540.1249855357554,11.958260743101398,ever,certain,4776,1284
NEG~too_impressed,NEGMIR,too_impressed,131,65.5,181.63399,2.4201508,0.5001123,0.0004490377,1.0,0.00044903765,291735,131,583470,131.0,291604.0,0.0,291735.0,291735.0,291735.0,131.0,583339.0,291669.5,65.5,291669.5,5.7227616,0.000897672,0.30103,0.0004490377,0.5001123,0.5001123,0.25028065,65.5,0.5,2.908473,2.764198,2.974749,3.1399584,4.4173965,3.3159134,11.445523142259598,540.1249855357554,11.445523142259598,too,impressed,69845,929
POS~pretty_close,POSMIR,pretty_close,123,61.5,170.54015,2.3928802,0.50010544,0.0004216155,1.0,0.00042161552,291735,123,583470,123.0,291612.0,0.0,291735.0,291735.0,291735.0,123.0,583347.0,291673.5,61.5,291673.5,5.545268,0.000842876,0.30103,0.0004216155,0.50010544,0.50010544,0.2502635,61.5,0.5,2.811572,2.6666949,2.878107,3.043915,4.3243256,3.2204416,11.090536506409418,540.1249855357554,11.090536506409418,pretty,close,5250,4972
POS~even_lower,POSMIR,even_lower,122,61.0,169.15343,2.3893478,0.50010455,0.0004181877,1.0,0.00041818773,291735,122,583470,122.0,291613.0,0.0,291735.0,291735.0,291735.0,122.0,583348.0,291674.0,61.0,291674.0,5.5226803,0.000836026,0.30103,0.0004181877,0.50010455,0.50010455,0.25026137,61.0,0.5,2.79899,2.6540318,2.8655596,3.0314481,4.3122582,3.2080517,11.045361017187261,540.1249855357554,11.045361017187261,even,lower,14978,409
POS~far_greater,POSMIR,far_greater,122,61.0,169.15343,2.3893478,0.50010455,0.0004181877,1.0,0.00041818773,291735,122,583470,122.0,291613.0,0.0,291735.0,291735.0,291735.0,122.0,583348.0,291674.0,61.0,291674.0,5.5226803,0.000836026,0.30103,0.0004181877,0.50010455,0.50010455,0.25026137,61.0,0.5,2.79899,2.6540318,2.8655596,3.0314481,4.3122582,3.2080517,11.045361017187261,540.1249855357554,11.045361017187261,far,greater,1282,479
POS~even_greater,POSMIR,even_greater,117,58.5,162.21991,2.371242,0.50010026,0.0004010489,1.0,0.0004010489,291735,117,583470,117.0,291618.0,0.0,291735.0,291735.0,291735.0,117.0,583353.0,291676.5,58.5,291676.5,5.408327,0.000801776,0.30103,0.0004010489,0.50010026,0.50010026,0.25025067,58.5,0.5,2.734384,2.5889997,2.8011367,2.9674487,4.250359,3.1444561,10.816653826391969,540.1249855357554,10.816653826391969,even,greater,14978,479
NEG~too_spectacular,NEGMIR,too_spectacular,112,56.0,155.28647,2.3523493,0.500096,0.0003839101,1.0,0.00038391005,291735,112,583470,112.0,291623.0,0.0,291735.0,291735.0,291735.0,112.0,583358.0,291679.0,56.0,291679.0,5.2915025,0.000767525,0.30103,0.0003839101,0.500096,0.500096,0.25023994,56.0,0.5,2.6667585,2.520909,2.7337108,2.900485,4.1856856,3.0779333,10.583005244258363,540.1249855357554,10.583005244258363,too,spectacular,69845,674
NEG~particularly_remarkable,NEGMIR,particularly_remarkable,108,54.0,149.73979,2.3366206,0.50009257,0.000370199,1.0,0.00037019898,291735,108,583470,108.0,291627.0,0.0,291735.0,291735.0,291735.0,108.0,583362.0,291681.0,54.0,291681.0,5.196152,0.000740124,0.30103,0.000370199,0.50009257,0.50009257,0.2502314,54.0,0.5,2.610287,2.4640336,2.6774127,2.844588,4.131776,3.0224187,10.392304845413264,540.1249855357554,10.392304845413264,particularly,remarkable,10020,1062
NEG~too_drastic,NEGMIR,too_drastic,105,52.5,145.5798,2.3244388,0.50009,0.0003599157,1.0,0.0003599157,291735,105,583470,105.0,291630.0,0.0,291735.0,291735.0,291735.0,105.0,583365.0,291682.5,52.5,291682.5,5.1234756,0.000719572,0.30103,0.0003599157,0.50009,0.50009,0.25022495,52.5,0.5,2.5664392,2.419862,2.6337037,2.8012006,4.0899796,2.9793377,10.246950765959598,540.1249855357554,10.246950765959598,too,drastic,69845,305
NEG~less_true,NEGMIR,less_true,102,51.0,141.41986,2.3119056,0.50008744,0.0003496324,1.0,0.00034963238,291735,102,583470,102.0,291633.0,0.0,291735.0,291735.0,291735.0,102.0,583368.0,291684.0,51.0,291684.0,5.049752,0.00069902,0.30103,0.0003496324,0.50008744,0.50008744,0.25021854,51.0,0.5,2.521222,2.374302,2.588634,2.7564716,4.0469375,2.9349334,10.099504938362077,540.1249855357554,10.099504938362077,less,true,9148,2870
NEG~ever_wrong,NEGMIR,ever_wrong,102,51.0,141.41986,2.3119056,0.50008744,0.0003496324,1.0,0.00034963238,291735,102,583470,102.0,291633.0,0.0,291735.0,291735.0,291735.0,102.0,583368.0,291684.0,51.0,291684.0,5.049752,0.00069902,0.30103,0.0003496324,0.50008744,0.50008744,0.25021854,51.0,0.5,2.521222,2.374302,2.588634,2.7564716,4.0469375,2.9349334,10.099504938362077,540.1249855357554,10.099504938362077,ever,wrong,4776,8526
POS~already_familiar,POSMIR,already_familiar,101,50.5,140.03322,2.3076465,0.50008655,0.0003462046,1.0,0.0003462046,291735,101,583470,101.0,291634.0,0.0,291735.0,291735.0,291735.0,101.0,583369.0,291684.5,50.5,291684.5,5.0249376,0.00069217,0.30103,0.0003462046,0.50008655,0.50008655,0.2502164,50.5,0.5,2.5058305,2.358791,2.5732934,2.7412493,4.0323,2.919824,10.04987562112089,540.1249855357554,10.04987562112089,already,familiar,912,2730
NEG~quite_sure,NEGMIR,quite_sure,2946,1477.0,3999.421,2.5442834,0.49982232,0.010070783,0.9972918,0.010098206,291735,2954,583470,2946.0,288789.0,8.0,291727.0,291735.0,291735.0,2954.0,580516.0,290258.0,1477.0,290258.0,27.064838,0.01999396,0.29985225,0.010070783,0.49982232,0.49982232,0.25494656,1469.0,0.49864224,6.4173594,6.3327365,6.4558263,6.5505505,7.220741,6.649536,54.27706698044764,540.1249855357554,54.35071296680477,quite,sure,13355,5983
NEG~quite_able,NEGMIR,quite_able,338,169.5,456.4995,2.3539693,0.4973391,0.0011551579,0.99705017,0.0011585857,291735,339,583470,338.0,291397.0,1.0,291734.0,291735.0,291735.0,339.0,583131.0,291565.5,169.5,291565.5,9.165192,0.002314482,0.299747,0.0011551579,0.4973391,0.4973391,0.24924713,168.5,0.4985207,4.0838776,3.9597762,4.1407647,4.282179,5.347743,4.4320908,18.384776310850235,540.1249855357554,18.411952639521967,quite,able,13355,1850
NEG~ever_good,NEGMIR,ever_good,299,150.0,402.63635,2.3007493,0.49692217,0.001021475,0.99666667,0.0010249027,291735,300,583470,299.0,291436.0,1.0,291734.0,291735.0,291735.0,300.0,583170.0,291585.0,150.0,291585.0,8.616893,0.0020477,0.29957992,0.001021475,0.49692217,0.49692217,0.24897182,149.0,0.49832776,3.9018378,3.7772572,3.9589312,4.1008267,5.168853,4.2512007,17.291616465790582,540.1249855357554,17.320508075688775,ever,good,4776,13484
NEG~really_sure,NEGMIR,really_sure,905,454.5,1210.1443,2.3050194,0.49637288,0.0030884193,0.99559957,0.0031021303,291735,909,583470,905.0,290830.0,4.0,291731.0,291735.0,291735.0,909.0,582561.0,291280.5,454.5,291280.5,14.975126,0.006184989,0.2991147,0.0030884193,0.49637288,0.49637288,0.24973065,450.5,0.49779007,5.0780697,4.977946,5.12373,5.2365727,6.0532894,5.3551283,30.083217912982647,540.1249855357554,30.14962686336267,really,sure,21297,5983
POS~more_akin,POSMIR,more_akin,200,100.5,266.11145,2.1263194,0.49519548,0.0006821259,0.99502486,0.00068555365,291735,201,583470,200.0,291535.0,1.0,291734.0,291735.0,291735.0,201.0,583269.0,291634.5,100.5,291634.5,7.0357122,0.001370163,0.29886395,0.0006821259,0.49519548,0.49519548,0.2479388,99.5,0.4975,3.299489,3.172842,3.3574739,3.5014422,4.580068,3.653808,14.142135623730951,540.1249855357554,14.177446878757825,more,akin,121848,236
NEG~too_pleased,NEGMIR,too_pleased,1289,648.5,1703.478,2.1829135,0.49493212,0.0043909713,0.99383193,0.0044183936,291735,1297,583470,1289.0,290446.0,8.0,291727.0,291735.0,291735.0,1297.0,582173.0,291086.5,648.5,291086.5,17.83991,0.008797674,0.29834294,0.0043909713,0.49493212,0.49493212,0.24966154,640.5,0.49689683,5.2165694,5.131296,5.2553196,5.3507104,6.024553,5.4503474,35.90264614203248,540.1249855357554,36.013886210738214,too,pleased,69845,1970
NEG~too_fancy,NEGMIR,too_fancy,528,265.5,699.55524,2.1797593,0.4948006,0.0017995784,0.99435025,0.0018098617,291735,531,583470,528.0,291207.0,3.0,291732.0,291735.0,291735.0,531.0,582939.0,291469.5,265.5,291469.5,11.423846,0.003613147,0.2985694,0.0017995784,0.4948006,0.4948006,0.24830008,262.5,0.4971591,4.413391,4.3067904,4.4620533,4.5824533,5.46091,4.709173,22.978250586152114,540.1249855357554,23.043437243605826,too,fancy,69845,857
POS~quite_different,POSMIR,quite_different,663,333.5,876.49554,2.1696105,0.49456838,0.0022588994,0.994003,0.0022726103,291735,667,583470,663.0,291072.0,4.0,291731.0,291735.0,291735.0,667.0,582803.0,291401.5,333.5,291401.5,12.79672,0.004534853,0.2984177,0.0022588994,0.49456838,0.49456838,0.24841364,329.5,0.4969834,4.6226106,4.521938,4.668509,4.78191,5.601601,4.9010067,25.748786379167466,540.1249855357554,25.826343140289914,quite,different,13355,8657
NEG~too_early,NEGMIR,too_early,5156,2604.0,6682.2954,1.9998624,0.49442858,0.01749533,0.9900154,0.017673574,291735,5208,583470,5156.0,286579.0,52.0,291683.0,291735.0,291735.0,5208.0,578262.0,289131.0,2604.0,289131.0,35.540554,0.034727205,0.29667193,0.01749533,0.49442858,0.49442858,0.25596195,2552.0,0.49495733,5.675532,5.6295333,5.6962614,5.7468324,6.085869,5.7989607,71.80529228406496,540.1249855357554,72.16647421067486,too,early,69845,5274
POS~too_real,POSMIR,too_real,497,250.0,656.8879,2.153461,0.4944237,0.0016933176,0.994,0.0017036009,291735,500,583470,497.0,291238.0,3.0,291732.0,291735.0,291735.0,500.0,582970.0,291485.0,250.0,291485.0,11.079464,0.003401372,0.29841638,0.0016933176,0.4944237,0.4944237,0.2480585,247.0,0.4969819,4.324278,4.2175207,4.373008,4.4935665,5.3728604,4.6204405,22.293496809607955,540.1249855357554,22.360679774997898,too,real,69845,1540
NEG~particularly_surprising,NEGMIR,particularly_surprising,166,83.5,219.32785,2.0455687,0.4941534,0.0005655818,0.994012,0.0005690096,291735,167,583470,166.0,291569.0,1.0,291734.0,291735.0,291735.0,167.0,583303.0,291651.5,83.5,291651.5,6.4032416,0.001137368,0.29842162,0.0005655818,0.4941534,0.4941534,0.2473595,82.5,0.49698794,3.0168908,2.8889554,3.0754306,3.22069,4.3059015,3.3742955,12.884098726725126,540.1249855357554,12.922847983320086,particularly,surprising,10020,1270
NEG~entirely_clear,NEGMIR,entirely_clear,324,163.0,427.74707,2.1137543,0.49414113,0.0011037413,0.993865,0.0011105969,291735,326,583470,324.0,291411.0,2.0,291733.0,291735.0,291735.0,326.0,583144.0,291572.0,163.0,291572.0,8.944445,0.002218715,0.2983574,0.0011037413,0.49414113,0.49414113,0.24762243,161.0,0.49691358,3.8387616,3.7237697,3.89132,4.0215497,4.9819417,4.1589293,18.0,540.1249855357554,18.05547008526779,entirely,clear,4011,3331
POS~even_free,POSMIR,even_free,151,76.0,198.71414,2.0045447,0.49354962,0.0005141653,0.9934211,0.000517593,291735,152,583470,151.0,291584.0,1.0,291734.0,291735.0,291735.0,152.0,583318.0,291659.0,76.0,291659.0,6.1034136,0.001034647,0.29816335,0.0005141653,0.49354962,0.49354962,0.2470319,75.0,0.49668875,2.8721864,2.743495,2.9310522,3.0770688,4.166139,3.2314012,12.288205727444508,540.1249855357554,12.328828005937952,even,free,14978,1688
NEG~too_sure,NEGMIR,too_sure,535,269.5,700.4987,2.076338,0.4930343,0.001820145,0.99257886,0.0018338561,291735,539,583470,535.0,291200.0,4.0,291731.0,291735.0,291735.0,539.0,582931.0,291465.5,269.5,291465.5,11.478566,0.003660948,0.297795,0.001820145,0.4930343,0.4930343,0.24742723,265.5,0.4962617,4.3072762,4.2061114,4.3533883,4.4672885,5.2896447,4.5868707,23.130067012440755,540.1249855357554,23.2163735324878,too,sure,69845,5983
NEG~really_free,NEGMIR,really_free,139,70.0,182.23773,1.9686885,0.49297544,0.000473032,0.99285716,0.0004764598,291735,140,583470,139.0,291596.0,1.0,291734.0,291735.0,291735.0,140.0,583330.0,291665.0,70.0,291665.0,5.852504,0.000952463,0.29791677,0.000473032,0.49297544,0.49297544,0.24672423,69.0,0.4964029,2.7450018,2.6155853,2.80418,2.950922,4.0436854,3.1059506,11.789826122551595,540.1249855357554,11.832159566199232,really,free,21297,1688
NEG~particularly_new,NEGMIR,particularly_new,404,203.5,529.05853,2.063448,0.49297288,0.0013745351,0.992629,0.0013848185,291735,407,583470,404.0,291331.0,3.0,291732.0,291735.0,291735.0,407.0,583063.0,291531.5,203.5,291531.5,9.975247,0.002765778,0.29781696,0.0013745351,0.49297288,0.49297288,0.2471737,200.5,0.49628714,4.0182433,3.9108708,4.0672398,4.1884212,5.0709996,4.315898,20.09975124224178,540.1249855357554,20.174241001832016,particularly,new,10020,4393
POS~even_bigger,POSMIR,even_bigger,137,69.0,179.49309,1.9624139,0.49287018,0.0004661765,0.9927536,0.00046960427,291735,138,583470,137.0,291598.0,1.0,291734.0,291735.0,291735.0,138.0,583332.0,291666.0,69.0,291666.0,5.8096323,0.000938764,0.29787147,0.0004661765,0.49287018,0.49287018,0.24666819,68.0,0.49635038,2.7226732,2.5931234,2.7819088,2.9287846,4.0222273,3.0839412,11.704699910719626,540.1249855357554,11.74734012447073,even,bigger,14978,862
NEG~particularly_close,NEGMIR,particularly_close,136,68.5,178.12093,1.9592425,0.49281645,0.0004627487,0.99270076,0.0004661765,291735,137,583470,136.0,291599.0,1.0,291734.0,291735.0,291735.0,137.0,583333.0,291666.5,68.5,291666.5,5.7880774,0.000931915,0.29784834,0.0004627487,0.49281645,0.49281645,0.2466396,67.5,0.49632353,2.7113783,2.5817604,2.7706432,2.9175873,4.0113773,3.0728095,11.661903789690601,540.1249855357554,11.704699910719626,particularly,close,10020,4972
NEG~too_thrilled,NEGMIR,too_thrilled,132,66.5,172.6334,1.9463197,0.4925935,0.0004490377,0.99248123,0.0004524654,291735,133,583470,132.0,291603.0,1.0,291734.0,291735.0,291735.0,133.0,583337.0,291668.5,66.5,291668.5,5.701043,0.000904518,0.2977523,0.0004490377,0.4925935,0.4925935,0.24652126,65.5,0.49621212,2.6652963,2.535395,2.7246833,2.871911,3.967143,3.027405,11.489125293076057,540.1249855357554,11.532562594670797,too,thrilled,69845,295
NEG~particularly_memorable,NEGMIR,particularly_memorable,131,66.0,171.26183,1.9430281,0.49253568,0.0004456099,0.99242425,0.00044903765,291735,132,583470,131.0,291604.0,1.0,291734.0,291735.0,291735.0,132.0,583338.0,291669.0,66.0,291669.0,5.679076,0.000897669,0.29772735,0.0004456099,0.49253568,0.49253568,0.24649064,65.0,0.49618322,2.653543,2.523568,2.7129617,2.8602629,3.9558694,3.0158277,11.445523142259598,540.1249855357554,11.489125293076057,particularly,memorable,10020,873
POS~too_human,POSMIR,too_human,129,65.0,168.519,1.9363691,0.4924174,0.0004387543,0.99230766,0.00044218212,291735,130,583470,129.0,291606.0,1.0,291734.0,291735.0,291735.0,130.0,583340.0,291670.0,65.0,291670.0,5.634886,0.00088397,0.29767635,0.0004387543,0.4924174,0.4924174,0.24642807,64.0,0.49612403,2.6297457,2.49962,2.6892292,2.8366814,3.9330544,2.9923909,11.357816691600547,540.1249855357554,11.40175425099138,too,human,69845,648
POS~also_available,POSMIR,also_available,243,122.5,316.52563,1.9889178,0.49204335,0.0008260922,0.9918367,0.0008329477,291735,245,583470,243.0,291492.0,2.0,291733.0,291735.0,291735.0,245.0,583225.0,291612.5,122.5,291612.5,7.7300787,0.001664498,0.29747018,0.0008260922,0.49204335,0.49204335,0.24643472,120.5,0.49588478,3.4087896,3.2924662,3.4619234,3.5934951,4.5608654,3.7321692,15.588457268119896,540.1249855357554,15.652475842498529,also,available,1528,3078
POS~very_confusing,POSMIR,very_confusing,119,60.0,154.81256,1.9014523,0.4917678,0.0004044767,0.9916667,0.00040790442,291735,120,583470,119.0,291616.0,1.0,291734.0,291735.0,291735.0,120.0,583350.0,291675.0,60.0,291675.0,5.408521,0.000815473,0.2973957,0.0004044767,0.4917678,0.4917678,0.24608614,59.0,0.49579832,2.504513,2.373556,2.5643547,2.7126381,3.8132355,2.869145,10.908712114635714,540.1249855357554,10.954451150103322,very,confusing,45886,478
POS~well_aware,POSMIR,well_aware,347,175.0,450.87582,1.9973992,0.49172354,0.0011791523,0.99142855,0.0011894356,291735,350,583470,347.0,291388.0,3.0,291732.0,291735.0,291735.0,350.0,583120.0,291560.0,175.0,291560.0,9.233444,0.002376021,0.29729143,0.0011791523,0.49172354,0.49172354,0.24645135,172.0,0.49567723,3.7925465,3.6846328,3.8417776,3.9635067,4.848973,4.0915136,18.627936010197157,540.1249855357554,18.708286933869708,well,aware,875,2451
POS~even_dangerous,POSMIR,even_dangerous,118,59.5,153.44267,1.8978013,0.49169692,0.0004010489,0.99159664,0.00040447668,291735,119,583470,118.0,291617.0,1.0,291734.0,291735.0,291735.0,119.0,583351.0,291675.5,59.5,291675.5,5.3853617,0.000808623,0.29736504,0.0004010489,0.49169692,0.49169692,0.24604899,58.5,0.4957627,2.4913728,2.3603249,2.5512538,2.6996284,3.800688,2.8562224,10.862780491200215,540.1249855357554,10.908712114635714,even,dangerous,14978,2408
POS~quite_difficult,POSMIR,quite_difficult,116,58.5,150.70334,1.8904059,0.49155155,0.0003941934,0.991453,0.00039762113,291735,117,583470,116.0,291619.0,1.0,291734.0,291735.0,291735.0,117.0,583353.0,291676.5,58.5,291676.5,5.338741,0.000794923,0.29730213,0.0003941934,0.49155155,0.49155155,0.24597287,57.5,0.49568966,2.4647295,2.3334944,2.5246909,2.6732523,3.775261,2.8300257,10.770329614269007,540.1249855357554,10.816653826391969,quite,difficult,13355,4891
POS~even_better,POSMIR,even_better,1240,626.0,1602.8038,1.9985187,0.49146992,0.0042092996,0.99041533,0.004250433,291735,1252,583470,1240.0,290495.0,12.0,291723.0,291735.0,291735.0,1252.0,582218.0,291109.0,626.0,291109.0,17.436428,0.008464539,0.29684734,0.0042092996,0.49146992,0.49146992,0.24783961,614.0,0.4951613,4.8874073,4.8108816,4.922106,5.0073166,5.6007485,5.0960064,35.21363372331802,540.1249855357554,35.38361202590826,even,better,14978,3681
POS~even_fatal,POSMIR,even_fatal,109,55.0,141.12053,1.8634837,0.49100167,0.000370199,0.9909091,0.00037362674,291735,110,583470,109.0,291626.0,1.0,291734.0,291735.0,291735.0,110.0,583360.0,291680.0,55.0,291680.0,5.1722617,0.000746972,0.2970638,0.000370199,0.49100167,0.49100167,0.24568594,54.0,0.49541286,2.367419,2.235474,2.4276857,2.5769567,3.682565,2.73441,10.44030650891055,540.1249855357554,10.488088481701515,even,fatal,14978,256
POS~pretty_special,POSMIR,pretty_special,104,52.5,134.28073,1.8431784,0.49056447,0.0003530601,0.9904762,0.0003564879,291735,105,583470,104.0,291631.0,1.0,291734.0,291735.0,291735.0,105.0,583365.0,291682.5,52.5,291682.5,5.0499907,0.000712719,0.29687405,0.0003530601,0.49056447,0.49056447,0.24545877,51.5,0.49519232,2.2936807,2.1611688,2.3541915,2.504029,3.6125097,2.6620255,10.198039027185569,540.1249855357554,10.246950765959598,pretty,special,5250,4860
NEG~too_careful,NEGMIR,too_careful,675,341.0,868.18286,1.9555597,0.49030918,0.0022897492,0.9897361,0.0023137436,291735,682,583470,675.0,291060.0,7.0,291728.0,291735.0,291735.0,682.0,582788.0,291394.0,341.0,291394.0,12.855666,0.004616695,0.29654938,0.0022897492,0.49030918,0.49030918,0.24629946,334.0,0.4948148,4.351649,4.2624736,4.3921814,4.4919887,5.198683,4.5962877,25.98076211353316,540.1249855357554,26.115129714401192,too,careful,69845,986
