key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~necessarily,NEGATED,necessarily,42708,2118.676,219003.4572,1.9014513,0.7164073,0.013069518,0.7533072,0.013237812,3226213,56694,86330752,42708.0,3183505.0,13986.0,83090553.0,3226213.0,83104539.0,56694.0,86274058.0,3224094.323681485,54575.323681485,83049963.67631851,196.4071,0.026018403,0.7164073,1.3044447,0.013069518,0.7164073,0.7164073,0.009363098,40589.324,0.9503916,46.02908,201.46793,6.225702,6.2215548,6.2275586,6.232058,6.2581496,6.234157,206.65913964787524,1796.1661949830811,238.10501884672655
NEG~exactly,NEGATED,exactly,43635,2301.978,214404.2002,1.8021766,0.67148066,0.013308984,0.7083719,0.013525145,3226213,61599,86330752,43635.0,3182578.0,17964.0,83086575.0,3226213.0,83104539.0,61599.0,86269153.0,3223911.021968035,59297.021968035,83045241.97803196,197.86987,0.026543489,0.67148066,1.2777338,0.013308984,0.67148066,0.67148066,0.008936725,41333.022,0.9472447,47.97893,203.30524,5.9020505,5.898278,5.9037395,5.907832,5.931565,5.9097414,208.8899231652882,1796.1661949830811,248.19145835423103
NEG~that,NEGATED,that,165411,9357.244,781016.1075,1.7225864,0.62505066,0.05024837,0.6606082,0.051270947,3226213,250392,86330752,165411.0,3060802.0,84981.0,83019558.0,3226213.0,83104539.0,250392.0,86080360.0,3216855.755834028,241034.755834028,82863504.24416597,383.7002,0.095156625,0.62505066,1.2474164,0.05024837,0.62505066,0.62505066,0.031407777,156053.756,0.94343036,96.73285,395.0364,5.616967,5.615184,5.6177654,5.6197004,5.63092,5.620603,406.7075116100021,1796.1661949830811,500.39184645635464
NEG~immediately,NEGATED,immediately,57319,3855.764,239462.5751,1.5153598,0.5187901,0.01721484,0.5555405,0.01776665,3226213,103177,86330752,57319.0,3168894.0,45858.0,83058681.0,3226213.0,83104539.0,103177.0,86227575.0,3222357.236312212,99321.236312212,83005217.76368779,223.30885,0.03443213,0.5187901,1.1721882,0.01721484,0.5187901,0.5187901,0.008930889,53463.236,0.9327315,62.0948,231.22119,4.9627695,4.960109,4.9639606,4.9668474,4.983586,4.968194,239.41386760169095,1796.1661949830811,321.21176815303636
NEG~yet,NEGATED,yet,52546,3800.829,209055.7797,1.446725,0.47983587,0.015695652,0.51664096,0.016287208,3226213,101707,86330752,52546.0,3173667.0,49161.0,83055378.0,3226213.0,83104539.0,101707.0,86229045.0,3222412.170770678,97906.170770677,83006632.82922933,212.64822,0.031578884,0.47983587,1.1406614,0.015695652,0.47983587,0.47983587,0.007531336,48745.171,0.92766666,61.650864,220.78308,4.7369256,4.734261,4.7381186,4.741009,4.757774,4.742358,229.22914299887788,1796.1661949830811,318.91534926999043
NEG~terribly,NEGATED,terribly,18054,2622.429,42704.9348,0.95267326,0.2200833,0.0049688728,0.25727478,0.0055960347,3226213,70174,86330752,18054.0,3208159.0,52120.0,83052419.0,3226213.0,83104539.0,70174.0,86260578.0,3223590.570960322,67551.570960322,83036987.42903969,114.848,0.010953811,0.2200833,0.8378697,0.0049688728,0.2200833,0.2200833,0.0010935658,15431.571,0.85474527,51.209656,124.22388,3.0938501,3.0901759,3.0954952,3.0994813,3.1225986,3.1013412,134.36517405935214,1796.1661949830811,264.9037561077608
NEG~remotely,NEGATED,remotely,5679,829.398,13354.3259,0.94802886,0.21856578,0.0015615425,0.25587997,0.0017602682,3226213,22194,86330752,5679.0,3220534.0,16515.0,83088024.0,3226213.0,83104539.0,22194.0,86308558.0,3225383.601788318,21364.601788318,83083174.39821167,64.3532,0.003496483,0.21856578,0.83550876,0.0015615425,0.21856578,0.21856578,0.00034129975,4849.602,0.85395354,28.79927,69.639084,3.0334048,3.02685,3.0363395,3.043451,3.0846913,3.0467687,75.35914012248281,1796.1661949830811,148.97650821522163
NEG~only,NEGATED,only,114070,17346.135,261936.3612,0.9377148,0.2095076,0.031144502,0.24575154,0.035357244,3226213,464168,86330752,114070.0,3112143.0,350098.0,82754441.0,3226213.0,83104539.0,464168.0,85866584.0,3208866.865498774,446821.865498774,82657717.13450122,286.38345,0.061820175,0.2095076,0.8179687,0.031144502,0.2095076,0.2095076,0.00652501,96723.865,0.8479343,131.70473,311.0046,3.0443451,3.0429118,3.044987,3.0465422,3.0555606,3.0472677,337.74250546829313,1796.1661949830811,681.298759722928
NEG~altogether,NEGATED,altogether,4575,771.175,9468.0037,0.86611646,0.18437363,0.0012248087,0.22169994,0.0014180713,3226213,20636,86330752,4575.0,3221638.0,16061.0,83088478.0,3226213.0,83104539.0,20636.0,86310116.0,3225441.824840214,19864.824840215,83084674.17515978,56.237366,0.002818117,0.18437363,0.77323806,0.0012248087,0.18437363,0.18437363,0.00022582243,3803.825,0.8314372,27.770039,61.675156,2.7515907,2.7444491,2.7547884,2.7625363,2.8074684,2.766151,67.63874629234341,1796.1661949830811,143.6523581428443
NEG~entirely,NEGATED,entirely,63708,11354.355,125925.1427,0.84209585,0.17291917,0.016857559,0.20968097,0.01974699,3226213,303833,86330752,63708.0,3162505.0,240125.0,82864414.0,3226213.0,83104539.0,303833.0,86026919.0,3214858.645361354,292478.645361354,82812060.35463865,207.41968,0.036094714,0.17291917,0.74903154,0.016857559,0.17291917,0.17291917,0.002914995,52353.645000000004,0.8217751,106.556816,228.80919,2.7401264,2.7382417,2.7409704,2.7430153,2.7548735,2.7439692,252.40443736194496,1796.1661949830811,551.2104861121566
