adv,PosStrictVers,Pos%ofStrict,PosTrivialVers,Pos%ofTrivial,VersDiff,PercDiff
more,12632,58.20125322521194,60462,25.03084247567791,47830,-33.17041074953403
most,9425,43.42517508293402,39603,16.39536327882426,30178,-27.02981180410976
very,8723,40.19074824917066,37732,15.620782446698406,29009,-24.569965802472254
so,6640,30.59343899741983,23105,9.565307389774373,16465,-21.028131607645456
as,5595,25.77865831183192,16236,6.7215897329745395,10641,-19.05706857885738
less,5274,24.299668263914487,18023,7.461395156282344,12749,-16.838273107632144
too,4740,21.839292296350905,14730,6.0981163320223555,9990,-15.74117596432855
also,4435,20.434021378547733,16882,6.98902918650383,12447,-13.444992192043904
pretty,4433,20.42480648728345,13803,5.714344856137445,9370,-14.710461631146007
almost,4136,19.056395134537414,15006,6.212378389567378,10870,-12.844016744970038
often,4120,18.982676004423148,13350,5.526806044297247,9230,-13.4558699601259
really,4020,18.521931441208995,13379,5.538811840198717,9359,-12.983119601010278
even,3968,18.28234426833763,13983,5.788863589318981,10015,-12.49348067901865
somewhat,3942,18.162550681901955,11067,4.5816601117781,7125,-13.580890570123856
still,3936,18.134906008109105,13630,5.642724073690747,9694,-12.492181934418358
quite,3915,18.038149649834132,10017,4.146967501552474,6102,-13.891182148281658
rather,3766,17.351640250645044,10017,4.146967501552474,6251,-13.20467274909257
completely,3753,17.291743457427202,12783,5.292072034775408,9030,-11.999671422651794
extremely,3493,16.0938075930704,10168,4.20948043883254,6675,-11.884327154237862
truly,3162,14.568743088831551,10171,4.210722417718898,7009,-10.358020671112653
slightly,3147,14.499631404349428,10016,4.146553508590354,6869,-10.353077895759075
just,3079,14.186325101363803,12319,5.099979300351894,9240,-9.086345801011909
all,3073,14.158680427570955,11870,4.914096460360174,8797,-9.244583967210781
highly,3019,13.90987836343531,9414,3.897329745394328,6395,-10.01254861804098
totally,2984,13.748617766310359,10322,4.273235354998965,7338,-9.475382411311394
mostly,2984,13.748617766310359,12428,5.145104533222935,9444,-8.603513233087423
increasingly,2957,13.624216734242536,8627,3.571517284206169,5670,-10.052699450036368
equally,2873,13.237191301142648,7711,3.192299730904575,4838,-10.044891570238073
much,2867,13.209546627349797,9817,4.0641689091285444,6950,-9.145377718221251
particularly,2821,12.997604128271286,8672,3.590146967501553,5851,-9.407457160769733
always,2741,12.629008477699962,9114,3.7731318567584355,6373,-8.855876620941526
fairly,2729,12.573719130114263,7754,3.2101014282757188,5025,-9.363617701838544
sometimes,2722,12.541467010689274,8583,3.553301593872904,5861,-8.98816541681637
now,2704,12.458532989310726,11677,4.834195818671082,8973,-7.6243371706396434
incredibly,2462,11.343531146332474,6593,2.7294555992548126,4131,-8.614075547077661
usually,2393,11.025617397714708,8878,3.6754295176981993,6485,-7.350187880016509
already,2337,10.76760044231478,8489,3.5143862554336573,6152,-7.253214186881123
largely,2327,10.721525985993367,8821,3.6518319188573796,6494,-7.069694067135988
seemingly,2326,10.716918540361224,7418,3.070999793003519,5092,-7.645918747357705
relatively,2247,10.352930335422043,7598,3.145518526185055,5351,-7.207411809236987
